,region,country,emissions,source,type,segment,reason,year,notes
1,Africa,Algeria,0.0520000010728836,IEA,Energy,Bioenergy,All,2022,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
2,Africa,Algeria,130.7989959716797,IEA,Energy,Gas pipelines and LNG facilities,Fugitive,2022,
3,Africa,Algeria,69.74189758300781,IEA,Energy,Gas pipelines and LNG facilities,Vented,2022,
4,Africa,Algeria,213.98699951171875,IEA,Energy,Onshore gas,Fugitive,2022,
5,Africa,Algeria,464.3080139160156,IEA,Energy,Onshore gas,Vented,2022,
6,Africa,Algeria,469.7869873046875,IEA,Energy,Onshore oil,Flared,2022,
7,Africa,Algeria,85.18720245361328,IEA,Energy,Onshore oil,Fugitive,2022,
8,Africa,Algeria,1154.1199951171875,IEA,Energy,Onshore oil,Vented,2022,
9,Africa,Algeria,0.0040000001899898,IEA,Energy,Other from coal,All,2022,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
10,Africa,Algeria,14.208550453186035,IEA,Energy,Other from oil and gas,All,2022,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
11,Africa,Algeria,67.0,IEA,Energy,Satellite-detected large oil and gas emissions,All,2022,
12,Africa,Algeria,2669.194580078125,IEA,Energy,Total,All,2022,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
16,Africa,Angola,57.34000015258789,IEA,Energy,Bioenergy,All,2022,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
17,Africa,Angola,2.59168004989624,IEA,Energy,Gas pipelines and LNG facilities,Fugitive,2022,
18,Africa,Angola,1.3818800449371338,IEA,Energy,Gas pipelines and LNG facilities,Vented,2022,
19,Africa,Angola,47.64350128173828,IEA,Energy,Offshore oil,Flared,2022,
20,Africa,Angola,29.42110061645508,IEA,Energy,Offshore oil,Fugitive,2022,
21,Africa,Angola,398.60101318359375,IEA,Energy,Offshore oil,Vented,2022,
22,Africa,Angola,3.96235990524292,IEA,Energy,Onshore gas,Fugitive,2022,
23,Africa,Angola,8.59749984741211,IEA,Energy,Onshore gas,Vented,2022,
24,Africa,Angola,0.9559029936790466,IEA,Energy,Onshore oil,Flared,2022,
25,Africa,Angola,1.1315900087356567,IEA,Energy,Onshore oil,Fugitive,2022,
26,Africa,Angola,15.330900192260742,IEA,Energy,Onshore oil,Vented,2022,
27,Africa,Angola,1.775954008102417,IEA,Energy,Other from oil and gas,All,2022,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
28,Africa,Angola,568.7333374023438,IEA,Energy,Total,All,2022,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
32,Africa,Benin,24.61199951171875,IEA,Energy,Bioenergy,All,2022,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
33,Africa,Benin,0.0987560003995895,IEA,Energy,Gas pipelines and LNG facilities,Fugitive,2022,
34,Africa,Benin,0.0526567995548248,IEA,Energy,Gas pipelines and LNG facilities,Vented,2022,
35,Africa,Benin,0.0280000008642673,IEA,Energy,Other from coal,All,2022,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
36,Africa,Benin,1.837127447128296,IEA,Energy,Other from oil and gas,All,2022,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
37,Africa,Benin,26.6285400390625,IEA,Energy,Total,All,2022,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
41,Africa,Botswana,5.4079999923706055,IEA,Energy,Bioenergy,All,2022,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
42,Africa,Botswana,0.0144058996811509,IEA,Energy,Onshore gas,Fugitive,2022,
43,Africa,Botswana,0.031257901340723,IEA,Energy,Onshore gas,Vented,2022,
44,Africa,Botswana,0.0839999988675117,IEA,Energy,Other from coal,All,2022,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
45,Africa,Botswana,0.6615587472915649,IEA,Energy,Other from oil and gas,All,2022,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
46,Africa,Botswana,6.199222564697266,IEA,Energy,Total,All,2022,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
50,Africa,Cameroon,74.33999633789062,IEA,Energy,Bioenergy,All,2022,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
51,Africa,Cameroon,1.912750005722046,IEA,Energy,Gas pipelines and LNG facilities,Fugitive,2022,
52,Africa,Cameroon,1.0198800563812256,IEA,Energy,Gas pipelines and LNG facilities,Vented,2022,
53,Africa,Cameroon,4.4021100997924805,IEA,Energy,Offshore gas,Fugitive,2022,
54,Africa,Cameroon,9.55165958404541,IEA,Energy,Offshore gas,Vented,2022,
55,Africa,Cameroon,49.95370101928711,IEA,Energy,Offshore oil,Flared,2022,
56,Africa,Cameroon,5.083970069885254,IEA,Energy,Offshore oil,Fugitive,2022,
57,Africa,Cameroon,68.87809753417969,IEA,Energy,Offshore oil,Vented,2022,
58,Africa,Cameroon,0.1206419989466667,IEA,Energy,Onshore gas,Fugitive,2022,
59,Africa,Cameroon,0.2617689967155456,IEA,Energy,Onshore gas,Vented,2022,
60,Africa,Cameroon,1.0361886024475098,IEA,Energy,Other from oil and gas,All,2022,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
61,Africa,Cameroon,216.56077575683597,IEA,Energy,Total,All,2022,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
68,Africa,Chad,8.433979988098145,IEA,Energy,Onshore oil,Flared,2022,
69,Africa,Chad,2.9542698860168457,IEA,Energy,Onshore oil,Fugitive,2022,
70,Africa,Chad,40.02470016479492,IEA,Energy,Onshore oil,Vented,2022,
71,Africa,Chad,0.0040000001899898,IEA,Energy,Other from oil and gas,All,2022,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
72,Africa,Chad,51.41695022583008,IEA,Energy,Total,All,2022,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
76,Africa,Congo,15.684000015258787,IEA,Energy,Bioenergy,All,2022,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
77,Africa,Congo,2.0187699794769287,IEA,Energy,Gas pipelines and LNG facilities,Fugitive,2022,
78,Africa,Congo,1.0764100551605225,IEA,Energy,Gas pipelines and LNG facilities,Vented,2022,
79,Africa,Congo,0.3759799897670746,IEA,Energy,Offshore gas,Fugitive,2022,
80,Africa,Congo,0.8157989978790283,IEA,Energy,Offshore gas,Vented,2022,
81,Africa,Congo,49.39789962768555,IEA,Energy,Offshore oil,Flared,2022,
82,Africa,Congo,12.04539966583252,IEA,Energy,Offshore oil,Fugitive,2022,
83,Africa,Congo,163.19200134277344,IEA,Energy,Offshore oil,Vented,2022,
84,Africa,Congo,0.606069028377533,IEA,Energy,Onshore gas,Fugitive,2022,
85,Africa,Congo,1.3150399923324585,IEA,Energy,Onshore gas,Vented,2022,
86,Africa,Congo,3.497450113296509,IEA,Energy,Onshore oil,Flared,2022,
87,Africa,Congo,0.9918609857559204,IEA,Energy,Onshore oil,Fugitive,2022,
88,Africa,Congo,13.437800407409668,IEA,Energy,Onshore oil,Vented,2022,
89,Africa,Congo,0.3122149407863617,IEA,Energy,Other from oil and gas,All,2022,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
90,Africa,Congo,264.7666931152344,IEA,Energy,Total,All,2022,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
94,Africa,Cote d'Ivoire,53.80400085449219,IEA,Energy,Bioenergy,All,2022,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
95,Africa,Cote d'Ivoire,5.743710041046143,IEA,Energy,Gas pipelines and LNG facilities,Fugitive,2022,
96,Africa,Cote d'Ivoire,3.0625500679016118,IEA,Energy,Gas pipelines and LNG facilities,Vented,2022,
97,Africa,Cote d'Ivoire,5.116020202636719,IEA,Energy,Offshore gas,Fugitive,2022,
98,Africa,Cote d'Ivoire,11.100700378417969,IEA,Energy,Offshore gas,Vented,2022,
99,Africa,Cote d'Ivoire,1.5840799808502195,IEA,Energy,Offshore oil,Flared,2022,
100,Africa,Cote d'Ivoire,0.8037959933280945,IEA,Energy,Offshore oil,Fugitive,2022,
101,Africa,Cote d'Ivoire,10.889900207519531,IEA,Energy,Offshore oil,Vented,2022,
102,Africa,Cote d'Ivoire,1.2916957139968872,IEA,Energy,Other from oil and gas,All,2022,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
103,Africa,Cote d'Ivoire,93.39645385742188,IEA,Energy,Total,All,2022,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
107,Africa,Democratic Republic of Congo,216.1719970703125,IEA,Energy,Bioenergy,All,2022,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
108,Africa,Democratic Republic of Congo,11.980999946594238,IEA,Energy,Offshore oil,Flared,2022,
109,Africa,Democratic Republic of Congo,1.164800047874451,IEA,Energy,Offshore oil,Fugitive,2022,
110,Africa,Democratic Republic of Congo,15.780799865722656,IEA,Energy,Offshore oil,Vented,2022,
111,Africa,Democratic Republic of Congo,6.215710163116455,IEA,Energy,Onshore oil,Flared,2022,
112,Africa,Democratic Republic of Congo,0.6042919754981995,IEA,Energy,Onshore oil,Fugitive,2022,
113,Africa,Democratic Republic of Congo,8.187009811401367,IEA,Energy,Onshore oil,Vented,2022,
114,Africa,Democratic Republic of Congo,0.5872942209243774,IEA,Energy,Other from oil and gas,All,2022,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
115,Africa,Democratic Republic of Congo,260.6929016113281,IEA,Energy,Total,All,2022,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
119,Africa,Egypt,15.496000289916992,IEA,Energy,Bioenergy,All,2022,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
120,Africa,Egypt,127.54199981689452,IEA,Energy,Gas pipelines and LNG facilities,Fugitive,2022,
121,Africa,Egypt,68.00550079345703,IEA,Energy,Gas pipelines and LNG facilities,Vented,2022,
122,Africa,Egypt,74.68219757080078,IEA,Energy,Offshore gas,Fugitive,2022,
123,Africa,Egypt,162.0449981689453,IEA,Energy,Offshore gas,Vented,2022,
124,Africa,Egypt,30.222299575805664,IEA,Energy,Offshore oil,Flared,2022,
125,Africa,Egypt,4.782340049743652,IEA,Energy,Offshore oil,Fugitive,2022,
126,Africa,Egypt,64.79170227050781,IEA,Energy,Offshore oil,Vented,2022,
127,Africa,Egypt,18.87809944152832,IEA,Energy,Onshore gas,Fugitive,2022,
128,Africa,Egypt,40.96160125732422,IEA,Energy,Onshore gas,Vented,2022,
129,Africa,Egypt,93.07379913330078,IEA,Energy,Onshore oil,Flared,2022,
130,Africa,Egypt,16.444799423217773,IEA,Energy,Onshore oil,Fugitive,2022,
131,Africa,Egypt,222.79600524902344,IEA,Energy,Onshore oil,Vented,2022,
132,Africa,Egypt,0.4959999918937683,IEA,Energy,Other from coal,All,2022,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
133,Africa,Egypt,17.825054168701172,IEA,Energy,Other from oil and gas,All,2022,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
134,Africa,Egypt,958.0424194335938,IEA,Energy,Total,All,2022,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
138,Africa,Equatorial Guinea,0.1879999935626983,IEA,Energy,Bioenergy,All,2022,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
139,Africa,Equatorial Guinea,7.800950050354004,IEA,Energy,Gas pipelines and LNG facilities,Fugitive,2022,
140,Africa,Equatorial Guinea,4.159470081329346,IEA,Energy,Gas pipelines and LNG facilities,Vented,2022,
141,Africa,Equatorial Guinea,17.984899520874023,IEA,Energy,Offshore gas,Fugitive,2022,
142,Africa,Equatorial Guinea,39.02349853515625,IEA,Energy,Offshore gas,Vented,2022,
143,Africa,Equatorial Guinea,6.018089771270752,IEA,Energy,Offshore oil,Flared,2022,
144,Africa,Equatorial Guinea,3.707159996032715,IEA,Energy,Offshore oil,Fugitive,2022,
145,Africa,Equatorial Guinea,50.22489929199219,IEA,Energy,Offshore oil,Vented,2022,
146,Africa,Equatorial Guinea,2.1004600524902344,IEA,Energy,Onshore oil,Flared,2022,
147,Africa,Equatorial Guinea,2.587779998779297,IEA,Energy,Onshore oil,Fugitive,2022,
148,Africa,Equatorial Guinea,35.05950164794922,IEA,Energy,Onshore oil,Vented,2022,
149,Africa,Equatorial Guinea,0.164000004529953,IEA,Energy,Other from oil and gas,All,2022,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
150,Africa,Equatorial Guinea,169.01870727539062,IEA,Energy,Total,All,2022,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
154,Africa,Eritrea,5.883999824523926,IEA,Energy,Bioenergy,All,2022,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
155,Africa,Eritrea,0.0529584996402263,IEA,Energy,Other from oil and gas,All,2022,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
156,Africa,Eritrea,5.936958312988281,IEA,Energy,Total,All,2022,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
160,Africa,Ethiopia,462.364013671875,IEA,Energy,Bioenergy,All,2022,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
161,Africa,Ethiopia,0.2000000029802322,IEA,Energy,Other from coal,All,2022,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
162,Africa,Ethiopia,1.6487563848495483,IEA,Energy,Other from oil and gas,All,2022,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
163,Africa,Ethiopia,464.2127685546875,IEA,Energy,Total,All,2022,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
167,Africa,Gabon,17.06399917602539,IEA,Energy,Bioenergy,All,2022,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
168,Africa,Gabon,1.393970012664795,IEA,Energy,Gas pipelines and LNG facilities,Fugitive,2022,
169,Africa,Gabon,0.7432630062103271,IEA,Energy,Gas pipelines and LNG facilities,Vented,2022,
170,Africa,Gabon,0.0772681981325149,IEA,Energy,Offshore gas,Fugitive,2022,
171,Africa,Gabon,0.1676560044288635,IEA,Energy,Offshore gas,Vented,2022,
172,Africa,Gabon,27.290000915527344,IEA,Energy,Offshore oil,Flared,2022,
173,Africa,Gabon,5.724649906158447,IEA,Energy,Offshore oil,Fugitive,2022,
174,Africa,Gabon,77.55809783935547,IEA,Energy,Offshore oil,Vented,2022,
175,Africa,Gabon,0.8191620111465454,IEA,Energy,Onshore gas,Fugitive,2022,
176,Africa,Gabon,1.7774100303649902,IEA,Energy,Onshore gas,Vented,2022,
177,Africa,Gabon,28.56279945373535,IEA,Energy,Onshore oil,Flared,2022,
178,Africa,Gabon,5.9916300773620605,IEA,Energy,Onshore oil,Fugitive,2022,
179,Africa,Gabon,81.17520141601562,IEA,Energy,Onshore oil,Vented,2022,
180,Africa,Gabon,0.2074630260467529,IEA,Energy,Other from oil and gas,All,2022,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
181,Africa,Gabon,248.5525665283203,IEA,Energy,Total,All,2022,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
188,Africa,Ghana,27.54800033569336,IEA,Energy,Bioenergy,All,2022,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
189,Africa,Ghana,2.662489891052246,IEA,Energy,Gas pipelines and LNG facilities,Fugitive,2022,
190,Africa,Ghana,1.4196399450302124,IEA,Energy,Gas pipelines and LNG facilities,Vented,2022,
191,Africa,Ghana,2.9981799125671387,IEA,Energy,Offshore gas,Fugitive,2022,
192,Africa,Ghana,6.505420207977295,IEA,Energy,Offshore gas,Vented,2022,
193,Africa,Ghana,16.480100631713867,IEA,Energy,Offshore oil,Flared,2022,
194,Africa,Ghana,3.5964999198913574,IEA,Energy,Offshore oil,Fugitive,2022,
195,Africa,Ghana,48.72579956054688,IEA,Energy,Offshore oil,Vented,2022,
196,Africa,Ghana,1.0940099954605105,IEA,Energy,Onshore oil,Flared,2022,
197,Africa,Ghana,0.4774970114231109,IEA,Energy,Onshore oil,Fugitive,2022,
198,Africa,Ghana,6.469170093536377,IEA,Energy,Onshore oil,Vented,2022,
199,Africa,Ghana,2.7592806816101074,IEA,Energy,Other from oil and gas,All,2022,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
200,Africa,Ghana,120.73609161376952,IEA,Energy,Total,All,2022,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
204,Africa,Guinea,0.0080000003799796,IEA,Energy,Other from oil and gas,All,2022,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
205,Africa,Guinea,0.0080000003799796,IEA,Energy,Total,All,2022,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
212,Africa,Kenya,140.9600067138672,IEA,Energy,Bioenergy,All,2022,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
213,Africa,Kenya,0.2160000056028366,IEA,Energy,Other from coal,All,2022,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
214,Africa,Kenya,2.649975299835205,IEA,Energy,Other from oil and gas,All,2022,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
215,Africa,Kenya,143.8259735107422,IEA,Energy,Total,All,2022,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
222,Africa,Libya,2.9679999351501465,IEA,Energy,Bioenergy,All,2022,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
223,Africa,Libya,27.869600296020508,IEA,Energy,Gas pipelines and LNG facilities,Fugitive,2022,
224,Africa,Libya,14.860099792480469,IEA,Energy,Gas pipelines and LNG facilities,Vented,2022,
225,Africa,Libya,13.74020004272461,IEA,Energy,Offshore gas,Fugitive,2022,
226,Africa,Libya,29.813400268554688,IEA,Energy,Offshore gas,Vented,2022,
227,Africa,Libya,20.24410057067871,IEA,Energy,Offshore oil,Flared,2022,
228,Africa,Libya,3.3026700019836426,IEA,Energy,Offshore oil,Fugitive,2022,
229,Africa,Libya,44.74489974975586,IEA,Energy,Offshore oil,Vented,2022,
230,Africa,Libya,22.555299758911133,IEA,Energy,Onshore gas,Fugitive,2022,
231,Africa,Libya,48.94029998779297,IEA,Energy,Onshore gas,Vented,2022,
232,Africa,Libya,393.31201171875,IEA,Energy,Onshore oil,Flared,2022,
233,Africa,Libya,66.32589721679688,IEA,Energy,Onshore oil,Fugitive,2022,
234,Africa,Libya,898.5900268554688,IEA,Energy,Onshore oil,Vented,2022,
235,Africa,Libya,7.17477560043335,IEA,Energy,Other from oil and gas,All,2022,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
236,Africa,Libya,5.0,IEA,Energy,Satellite-detected large oil and gas emissions,All,2022,
237,Africa,Libya,1599.4412841796875,IEA,Energy,Total,All,2022,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
241,Africa,Morocco,14.227999687194824,IEA,Energy,Bioenergy,All,2022,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
242,Africa,Morocco,2.3359200954437256,IEA,Energy,Gas pipelines and LNG facilities,Fugitive,2022,
243,Africa,Morocco,1.2455099821090698,IEA,Energy,Gas pipelines and LNG facilities,Vented,2022,
244,Africa,Morocco,0.1235819980502128,IEA,Energy,Onshore gas,Fugitive,2022,
245,Africa,Morocco,0.2681480050086975,IEA,Energy,Onshore gas,Vented,2022,
246,Africa,Morocco,0.0012635400053113,IEA,Energy,Onshore oil,Fugitive,2022,
247,Africa,Morocco,0.0171185992658138,IEA,Energy,Onshore oil,Vented,2022,
248,Africa,Morocco,0.3000000119209289,IEA,Energy,Other from coal,All,2022,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
249,Africa,Morocco,3.661930322647095,IEA,Energy,Other from oil and gas,All,2022,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
250,Africa,Morocco,22.181472778320312,IEA,Energy,Total,All,2022,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
254,Africa,Mozambique,63.56399917602539,IEA,Energy,Bioenergy,All,2022,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
255,Africa,Mozambique,60.53779983520508,IEA,Energy,Coking coal,All,2022,
256,Africa,Mozambique,2.407809972763061,IEA,Energy,Gas pipelines and LNG facilities,Fugitive,2022,
257,Africa,Mozambique,1.2838399410247805,IEA,Energy,Gas pipelines and LNG facilities,Vented,2022,
258,Africa,Mozambique,1.595620036125183,IEA,Energy,Offshore gas,Fugitive,2022,
259,Africa,Mozambique,3.462160110473633,IEA,Energy,Offshore gas,Vented,2022,
260,Africa,Mozambique,10.58530044555664,IEA,Energy,Onshore gas,Fugitive,2022,
261,Africa,Mozambique,22.96780014038086,IEA,Energy,Onshore gas,Vented,2022,
262,Africa,Mozambique,0.0172953996807336,IEA,Energy,Onshore oil,Fugitive,2022,
263,Africa,Mozambique,0.2343199998140335,IEA,Energy,Onshore oil,Vented,2022,
